sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:article:noun:1,article,noun,文章；物品；条款；[语] 冠词,n 文章；物品；条款；[语] 冠词；v 订约将…收为学徒或见习生；使…受协议条款的约束,/'ɑrtɪkl/,/'ɑːtɪk(ə)l/,The paper’s leading article (= the main article ) described the government as weak.,该报社论称政府软弱。
en:as:conjunction:1,as,conjunction,因为；随着；虽然；依照；当…时,conj 因为；随着；虽然；依照；当…时；prep 如同；当作；以…的身份；adv 同样地；和…一样的,"/æz,əz/",/æz; əz/,I saw Peter as I was getting off the bus.,我下公共汽车的时候看见了彼得。
en:asia:noun:1,Asia,noun,亚洲,n 亚洲,/ˈeʒə;ˈeʃə/,/ˈeɪʒə;ˈeɪʃə/,The European powers extended their authority in Asia.,欧洲列强在亚洲扩大他们的管辖权。
en:asian:noun:1,Asian,noun,亚洲人,n 亚洲人；adj 亚洲的；亚洲人的,"/ˈeʒən, ˈeʃən/",/'eiʃən/,Many of the shops were run by Asians.,这些商店中有许多是由亚洲人经营的。
en:ask:verb:1,ask,verb,问，询问；要求；需要；邀请；讨价,v 问，询问；要求；需要；邀请；讨价；n (Ask)人名；(芬、瑞典)阿斯克,/æsk/,/ɑːsk/,‘What’s your name?’ she asked.,“你叫什么名字？”她问道 。
en:asleep:adjective:1,asleep,adjective,睡着的；麻木的；长眠的,adj 睡着的；麻木的；长眠的；adv 熟睡地；进入睡眠状态,/ə'slip/,/ə'sliːp/,Quiet! The baby’s asleep.,安静！ 宝宝在睡觉。
en:at:preposition:1,at,preposition,在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于,prep 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于；n 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）；abbr 密封的（airtight）；气温（air temperature）,,/æt; ət/,I met my wife at a disco.,我在迪斯科舞会上认识了我的妻子。
en:atlantic:noun:1,Atlantic,noun,大西洋,n 大西洋；adj 大西洋的,/ət'læntɪk/,/æt'læntɪk/,They underlaid the Atlantic with a cable.,他们在大西洋海底铺设了一条电缆。
en:attention:noun:1,attention,noun,注意力；关心；立正！（口令）,n 注意力；关心；立正！（口令）,/ə'tɛnʃən/,/ə'tenʃ(ə)n/,My attention wasn’t really on the game.,我的注意力其实不在比赛上。
en:august:adjective:1,August,adjective,威严的；令人敬畏的,adj 威严的；令人敬畏的；n 八月（简写为Aug）,/ɔɡəst/,/ɔ:ˈgʌst/,The world premiere took place in August 1956.,全球首映是在1956年8月。
en:aunt:noun:1,aunt,noun,阿姨；姑妈；伯母；舅妈,n 阿姨；姑妈；伯母；舅妈,/ænt/,/ɑːnt/,Aunt Mary,玛丽姑妈
en:australia:noun:1,Australia,noun,澳大利亚，澳洲,n 澳大利亚，澳洲,/ɔ'streljə/,/ɒ'streɪlɪə/,He transplanted his family to Australia.,他把家迁到澳大利亚。
en:australian:adjective:1,Australian,adjective,澳大利亚的，澳大利亚人的,adj 澳大利亚的，澳大利亚人的；n 澳大利亚人,/ɑ'strelɪən/,,She went solo backpacking for eight months in the Australian outback.,她在澳大利亚内陆独自背包旅行了八个月。
en:autumn:noun:1,autumn,noun,秋天；成熟期；渐衰期，凋落期,n 秋天；成熟期；渐衰期，凋落期；adj 秋天的，秋季的,/'ɔtəm/,/'ɔːtəm/,autumn mists,秋天的雾霭
en:available:adjective:1,available,adjective,可获得的；可购得的；可找到的；有空的,adj 可获得的；可购得的；可找到的；有空的,/ə'veləbl/,/ə'veɪləb(ə)l/,Tickets are available from the box office.,售票处有票出售。
en:avoid:verb:1,avoid,verb,避免；避开，躲避；消除,v 避免；避开，躲避；消除,/ə'vɔɪd/,/ə'vɒɪd/,Road safety is taught to young children to avoid road accidents.,小孩子受到道路安全知识的教育，以避免交通事故。
en:away:adverb:1,away,adverb,离去，离开；在远处,adv 离去，离开；在远处,/əˈwe/,/ə'weɪ/,Go away!,走开！
